Time resolution is 1 ps
Memory initialized.
Time: 0 | PC_out: x | Opcode: xxx | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: x | PC_En: x | SKZ: z | JUMP: z
Time: 0 | PC_out: 0 | Opcode: 000 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 100000 | PC_out: 0 | Opcode: 000 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 0 | SKZ: z | JUMP: z
Time: 108000 | PC_out: 0 | Opcode: 111 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 124000 | PC_out: 0 | Opcode: 111 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 1 | SKZ: z | JUMP: z
Time: 132000 | PC_out: 30 | Opcode: 111 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 0 | SKZ: z | JUMP: z
Time: 140000 | PC_out: 30 | Opcode: 111 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 156000 | PC_out: 30 | Opcode: 111 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 1 | SKZ: z | JUMP: z
Time: 164000 | PC_out: 30 | Opcode: 111 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 0 | SKZ: z | JUMP: z
Time: 172000 | PC_out: 30 | Opcode: 111 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 188000 | PC_out: 30 | Opcode: 111 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 1 | SKZ: z | JUMP: z
Time: 196000 | PC_out: 3 | Opcode: 111 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 0 | SKZ: z | JUMP: z
Time: 204000 | PC_out: 3 | Opcode: 111 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 220000 | PC_out: 3 | Opcode: 101 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 1 | SKZ: z | JUMP: z
Time: 228000 | PC_out: 3 | Opcode: 101 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 0 | SKZ: z | JUMP: z
Time: 236000 | PC_out: 3 | Opcode: 101 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 268000 | PC_out: 3 | Opcode: 101 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 276000 | PC_out: 4 | Opcode: 101 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 308000 | PC_out: 4 | Opcode: 101 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 316000 | PC_out: 5 | Opcode: 101 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 324000 | PC_out: 5 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 332000 | PC_out: 5 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 340000 | PC_out: 7 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 0 | SKZ: z | JUMP: z
Time: 348000 | PC_out: 7 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 356000 | PC_out: 7 | Opcode: 000 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 364000 | PC_out: 7 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 380000 | PC_out: 7 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 388000 | PC_out: 8 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 404000 | PC_out: 8 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 412000 | PC_out: 10 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 0 | SKZ: z | JUMP: z
Time: 420000 | PC_out: 10 | Opcode: 001 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 428000 | PC_out: 10 | Opcode: 111 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 436000 | PC_out: 10 | Opcode: 110 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 1 | SKZ: z | JUMP: z
Time: 444000 | PC_out: 10 | Opcode: 110 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 0 | SKZ: z | JUMP: z
Time: 452000 | PC_out: 10 | Opcode: 110 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 476000 | PC_out: 10 | Opcode: 110 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 484000 | PC_out: 11 | Opcode: 110 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 508000 | PC_out: 11 | Opcode: 110 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 516000 | PC_out: 12 | Opcode: 110 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 524000 | PC_out: 12 | Opcode: 101 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 548000 | PC_out: 12 | Opcode: 101 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 556000 | PC_out: 13 | Opcode: 101 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 564000 | PC_out: 13 | Opcode: 110 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
Time: 580000 | PC_out: 13 | Opcode: 110 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 1 | PC_En: 1 | SKZ: z | JUMP: z
Time: 588000 | PC_out: 14 | Opcode: 110 | Operand: zzzzz | Accumulator: z | ALU_Result: z | Instr: zz | Data_Mem: zz | Wr_En: z | Mux_Sel: 0 | PC_En: 0 | SKZ: z | JUMP: z
