Time resolution is 1 ps
Đọc file thành công!
Time: 0 | PC_out: 0 | Opcode: 000 | Operand: 00000 | Accumulator: 0 | ALU_Result: x | instruc: xx | data: xx | wr_en: x |operand_address:  0 | operand_address_out:  x | mux_select: x | pc_enable: x 
Time: 5000 | PC_out: 0 | Opcode: 000 | Operand: 00000 | Accumulator: 0 | ALU_Result: z | instruc: xx | data: xx | wr_en: 0 |operand_address:  0 | operand_address_out:  x | mux_select: 0 | pc_enable: 0 
Time: 15000 | PC_out: 0 | Opcode: 000 | Operand: 00000 | Accumulator: 0 | ALU_Result: z | instruc: 45 | data: xx | wr_en: 0 |operand_address:  0 | operand_address_out:  0 | mux_select: 1 | pc_enable: 0 
Time: 25000 | PC_out: 0 | Opcode: 000 | Operand: 00000 | Accumulator: 0 | ALU_Result: z | instruc: 45 | data: 01 | wr_en: 0 |operand_address:  0 | operand_address_out:  0 | mux_select: 1 | pc_enable: 0 
Time: 45000 | PC_out: 0 | Opcode: 010 | Operand: 00101 | Accumulator: 0 | ALU_Result: z | instruc: 45 | data: 01 | wr_en: 0 |operand_address:  5 | operand_address_out:  0 | mux_select: 1 | pc_enable: 0 
Time: 55000 | PC_out: 0 | Opcode: 010 | Operand: 00101 | Accumulator: 0 | ALU_Result: 1 | instruc: 45 | data: 01 | wr_en: 0 |operand_address:  5 | operand_address_out:  0 | mux_select: 0 | pc_enable: 0 
Time: 65000 | PC_out: 0 | Opcode: 010 | Operand: 00101 | Accumulator: 0 | ALU_Result: 1 | instruc: 45 | data: 01 | wr_en: 0 |operand_address:  5 | operand_address_out:  5 | mux_select: 0 | pc_enable: 0 
Time: 75000 | PC_out: 0 | Opcode: 010 | Operand: 00101 | Accumulator: 0 | ALU_Result: 1 | instruc: 45 | data: 0a | wr_en: 0 |operand_address:  5 | operand_address_out:  5 | mux_select: 0 | pc_enable: 0 
Time: 85000 | PC_out: 0 | Opcode: 010 | Operand: 00101 | Accumulator: 0 | ALU_Result: 10 | instruc: 45 | data: 0a | wr_en: 0 |operand_address:  5 | operand_address_out:  5 | mux_select: 0 | pc_enable: 0 
Time: 95000 | PC_out: 0 | Opcode: 010 | Operand: 00101 | Accumulator: 0 | ALU_Result: 10 | instruc: 45 | data: 0a | wr_en: 0 |operand_address:  5 | operand_address_out:  5 | mux_select: 0 | pc_enable: 1 
Time: 105000 | PC_out: 1 | Opcode: 010 | Operand: 00101 | Accumulator: 10 | ALU_Result: 10 | instruc: 45 | data: 0a | wr_en: 0 |operand_address:  5 | operand_address_out:  5 | mux_select: 0 | pc_enable: 1 
Time: 115000 | PC_out: 2 | Opcode: 010 | Operand: 00101 | Accumulator: 10 | ALU_Result: 20 | instruc: 45 | data: 0a | wr_en: 0 |operand_address:  5 | operand_address_out:  5 | mux_select: 1 | pc_enable: 0 
